0.000000	-0.041442	0.016327
5.000000	-0.038808	0.014754
10.000000	-0.036174	0.013181
15.000000	-0.033540	0.011608
20.000000	-0.030906	0.010035
25.000000	-0.028272	0.008462
30.000000	-0.025638	0.006889
35.000000	-0.023004	0.005316
40.000000	-0.020370	0.003743
45.000000	-0.017736	0.002170
50.000000	-0.015102	0.000597
55.000000	-0.012468	-0.000976
60.000000	-0.009834	-0.002549
65.000000	-0.007200	-0.004121
70.000000	-0.004566	-0.005694
75.000000	-0.001932	-0.007267
80.000000	0.000702	-0.008840
85.000000	0.003337	-0.010413
90.000000	0.005971	-0.011986
95.000000	0.008605	-0.013559
