0.000000	-0.413306	-0.115349
5.000000	-0.411218	-0.104125
10.000000	-0.409129	-0.092901
15.000000	-0.407041	-0.081677
20.000000	-0.404952	-0.070453
25.000000	-0.402864	-0.059229
30.000000	-0.400776	-0.048005
35.000000	-0.398687	-0.036781
40.000000	-0.396599	-0.025557
45.000000	-0.394510	-0.014333
50.000000	-0.392422	-0.003109
55.000000	-0.390334	0.008115
60.000000	-0.388245	0.019339
65.000000	-0.386157	0.030563
70.000000	-0.384068	0.041787
75.000000	-0.381980	0.053011
80.000000	-0.379892	0.064235
85.000000	-0.377803	0.075459
90.000000	-0.375715	0.086683
95.000000	-0.373626	0.097907
